lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
fortalecer	2	sí	6.0172	1	4.2366	1	1.8161	2	3.4744	1	26.3283	2
adónde	2	no										
lamentar	2	sí	0	0	0	0	0	0	22.3091	3	38.1253	3
regalo	2	sí	182.127	7	196.628	26	118.817	20	35.8987	5	77.6046	6
enfrentar	2	sí	5.0445	1	0	0	10.8504	4	34.3684	4	38.1253	3
cerrojo	2	no										
oportunidad	2	sí	67.3016	5	76.9339	13	48.358	11	180.465	24	78.203	7
flores	2	no										
sembrar	2	sí	0	0	0	0	1.5816	2	2.6116	1	9.4714	1
dispuesto	2	no										
riesgo	2	sí	72.5564	3	12.5026	4	21.6422	6	103.047	11	137.293	10
mano	2	sí	412.556	16	336.094	48	533.245	68	428.685	38	647.829	36
verte	2	no										
sano	2	sí	108.381	6	31.4057	7	71.2725	18	105.359	13	17.0156	1
hija	2	sí	0	0	1.0067	1	12.0661	3	3.4744	1	0	0
mira	2	sí	35.7751	3	34.4465	7	41.1052	14	18.4848	4	18.9428	1
hermano	2	sí	439.409	21	356.824	35	144.633	24	44.3153	7	127.585	10
proteger	2	sí	101.87	6	94.7704	14	80.3048	15	125.434	13	156.3	9
ver él	2	no										
mesa	2	sí	267.263	12	171.637	24	240.877	36	227.089	20	141.296	8
comer	2	sí	2046.69	69	1169.53	125	784.773	109	525.575	44	395.376	28
toñito	2	no										
aprovechar	2	sí	3.0086	1	41.8891	7	107.736	18	88.2926	10	78.203	7
super	2	sí	0	0	2.9415	1	1.2931	1	0	0	0	0
magnífico	2	sí	20.2077	2	65.2198	12	59.5993	12	24.9545	5	18.9428	2
río	2	sí	183.826	9	126.681	15	75.8898	15	68.5034	8	183.339	11
quierar	2	no										
dime	2	no										
muevo	2	no										
valer	2	sí	407.703	17	176.095	25	226.608	39	213.204	16	150.618	11
necesario	2	sí	167.256	7	80.2581	14	136.277	25	394.873	39	462.944	34
derrumbar él	2	no										
reventar	2	sí	0	0	0	0	0	0	0	0	8.5078	1
pop	2	sí	9.9079	1	1.4122	1	0	0	0	0	8.5078	1
tarea	2	sí	43.0783	3	19.008	5	77.721	13	206.014	21	144.855	7
soltar	2	sí	7.1507	1	2.0134	2	0	0	6.9489	2	9.4714	1
explosión	2	sí	0	0	5.5971	2	3.0199	2	12.2342	2	65.54	5
agarrar	2	sí	7.1507	1	43.3591	8	29.5039	10	2.2844	1	18.9428	2
viento	2	sí	86.6319	4	30.5676	6	78.7498	11	34.9602	5	89.1746	5
control	2	sí	3.0086	1	28.0768	5	4.5672	2	48.0003	7	539.26	40
cimiento	2	sí	0	0	0	0	0	0	12.2342	2	0	0
horrible	2	sí	32.3886	2	45.5726	9	51.5056	14	23.0144	4	9.4714	1
